date,close,volume,open,high,low
12/13/2016,4.43,2249233,4.42,4.515,4.38
12/12/2016,4.43,2144092,4.45,4.475,4.345
12/9/2016,4.41,2500059,4.51,4.6,4.4
12/8/2016,4.56,745782,4.5,4.6,4.495
12/7/2016,4.55,1734428,4.65,4.67,4.505
12/6/2016,4.56,1492625,4.68,4.82,4.52
12/5/2016,4.7,2474322,4.48,4.73,4.39
12/2/2016,4.55,2668131,4.61,4.6835,4.5
12/1/2016,4.55,2286833,4.52,4.78,4.48
11/30/2016,4.58,1750601,4.68,4.68,4.48
11/29/2016,4.6,1717402,4.37,4.65,4.37
11/28/2016,4.51,1282873,4.43,4.55,4.3315
11/25/2016,4.34,667970,4.36,4.46,4.33
11/23/2016,4.36,1824096,4.3,4.43,4.25
11/22/2016,4.53,1582980,4.61,4.61,4.3699
11/21/2016,4.54,1302980,4.52,4.6,4.45
11/18/2016,4.44,1995685,4.41,4.545,4.35
11/17/2016,4.51,2486404,4.49,4.75,4.4
11/16/2016,4.52,2316905,4.54,4.58,4.445
11/15/2016,4.57,2160707,4.47,4.6112,4.401
11/14/2016,4.44,3286606,4.13,4.5285,4.01
11/11/2016,4.23,3482844,4.53,4.53,4.075
11/10/2016,4.53,3497686,4.87,4.87,4.5
11/9/2016,4.89,3230816,5.24,5.3,4.75
11/8/2016,4.87,2097248,4.99,5.165,4.81
11/7/2016,4.99,4350893,5.21,5.24,4.97
11/4/2016,5.42,6055237,5.4,5.52,5.26
11/3/2016,5.39,1743634,5.22,5.44,5.2
11/2/2016,5.25,4411669,5.41,5.54,5.2301
11/1/2016,5.24,2397805,5.12,5.3299,5.1
10/31/2016,5,1535855,4.96,5.01,4.91
10/28/2016,4.96,2137560,4.75,4.99,4.72
10/27/2016,4.77,1186174,4.87,4.91,4.76
10/26/2016,4.84,1418960,4.9,4.98,4.8
10/25/2016,4.89,2446906,4.67,5.01,4.65
10/24/2016,4.62,2033781,4.71,4.75,4.6
10/21/2016,4.66,3241114,4.61,4.74,4.6
10/20/2016,4.58,1347672,4.63,4.7,4.54
10/19/2016,4.66,3041527,4.54,4.67,4.41
10/18/2016,4.45,2045654,4.32,4.45,4.23
10/17/2016,4.23,1308970,4.15,4.27,4.11
10/14/2016,4.11,1906680,4.16,4.27,4.1
10/13/2016,4.18,1933259,4.11,4.4,4.07
10/12/2016,4.09,1802993,4.05,4.16,4
10/11/2016,4.05,2549637,4.26,4.26,4.02
10/10/2016,4.24,1658143,4.16,4.25,4.11
10/7/2016,4.09,4543440,4.4,4.5,4.08
10/6/2016,4.27,3203717,4.42,4.61,4.27
10/5/2016,4.6,7929957,4.95,4.95,4.3766
10/4/2016,4.86,4437729,5.32,5.4,4.85
10/3/2016,5.54,1212466,5.65,5.65,5.43
9/30/2016,5.6,2246905,5.79,5.87,5.52
9/29/2016,5.71,1436409,5.69,5.78,5.62
9/28/2016,5.72,2170143,5.6,5.79,5.53
9/27/2016,5.58,2521276,5.52,5.71,5.5
9/26/2016,5.49,989341,5.53,5.6,5.47
